industry,year,ai,all
Telecommunications,2019,10952,146431
"Architecture, Engineering, Construction, and Operations",2020,2641,258866
Automotive,2020,5592,82239
Energy,2020,12760,543322
Financial Services,2020,6574,196225
Government,2020,2086,254347
Healthcare and Life Sciences,2020,33847,2834530
Higher Education and Research,2020,50876,1044841
Industrial,2020,2721,66304
Manufacturing,2020,5380,277720
Media and Entertainment,2020,16525,144283
Restaurants and Quick-Service,2020,1,8136
Retail and Consumer Packaged Goods,2020,1891,75771
Robotics,2020,19045,87500
Semiconductor,2020,8304,165271
Telecommunications,2020,11305,133495
"Architecture, Engineering, Construction, and Operations",2021,2706,254557
Automotive,2021,6959,84017
Energy,2021,13310,563917
Financial Services,2021,7734,193761
Government,2021,2090,229148
Healthcare and Life Sciences,2021,39143,2829833
Higher Education and Research,2021,52163,958617
Industrial,2021,2868,65119
Manufacturing,2021,5518,268475
Media and Entertainment,2021,18860,138127
Restaurants and Quick-Service,2021,2,7313
Retail and Consumer Packaged Goods,2021,2197,77151
Robotics,2021,20396,89639
Semiconductor,2021,8964,164803
Telecommunications,2021,12361,136024
"Architecture, Engineering, Construction, and Operations",2022,2772,245308
Automotive,2022,7758,85520
Energy,2022,13296,578768
Financial Services,2022,7812,176651
Government,2022,2043,189192
Healthcare and Life Sciences,2022,41420,2802384
Higher Education and Research,2022,48977,856463
Industrial,2022,2687,63430
Manufacturing,2022,5653,269576
Media and Entertainment,2022,19633,124018
Restaurants and Quick-Service,2022,1,7042
Retail and Consumer Packaged Goods,2022,2235,71310
Robotics,2022,20183,91472
Semiconductor,2022,10213,163953
Telecommunications,2022,13193,135787
"Architecture, Engineering, Construction, and Operations",2023,3067,260495
Automotive,2023,9319,95286
Energy,2023,14456,590799
Financial Services,2023,9003,194584
Government,2023,2264,206498
Healthcare and Life Sciences,2023,49446,2754894
Higher Education and Research,2023,57437,940405
Industrial,2023,2876,68539
Manufacturing,2023,6610,289221
Media and Entertainment,2023,23530,137848
Restaurants and Quick-Service,2023,1,6556
Retail and Consumer Packaged Goods,2023,2594,79694
Robotics,2023,21928,100002
Semiconductor,2023,12003,171146
Telecommunications,2023,14736,144697
"Architecture, Engineering, Construction, and Operations",2024,3409,272748
Automotive,2024,7701,98761
Energy,2024,15590,615728
Financial Services,2024,9135,195638
Government,2024,2314,212694
Healthcare and Life Sciences,2024,53283,2940695
Higher Education and Research,2024,55591,979527
Industrial,2024,3910,77366
Manufacturing,2024,9269,332441
Media and Entertainment,2024,22169,142625
Restaurants and Quick-Service,2024,1,8783
Retail and Consumer Packaged Goods,2024,2547,82535
Robotics,2024,24108,113287
Semiconductor,2024,12185,176654
Telecommunications,2024,13000,144665
"Architecture, Engineering, Construction, and Operations",2025,2597,257556
Automotive,2025,5838,90974
Energy,2025,13389,565875
Financial Services,2025,8878,172657
Government,2025,1758,173895
Healthcare and Life Sciences,2025,49692,2951777
Higher Education and Research,2025,45531,887278
Industrial,2025,3102,66720
Manufacturing,2025,7418,296126
Media and Entertainment,2025,19641,131294
Restaurants and Quick-Service,2025,1,7961
Retail and Consumer Packaged Goods,2025,1971,71141
Robotics,2025,22391,108318
Semiconductor,2025,11465,161361
Telecommunications,2025,11253,137238
"Architecture, Engineering, Construction, and Operations",2026,35,34195
Automotive,2026,363,12301
Energy,2026,911,84145
Financial Services,2026,733,19929
Government,2026,39,16888
Healthcare and Life Sciences,2026,4095,604696
Higher Education and Research,2026,4239,118201
Industrial,2026,56,5819
Manufacturing,2026,50,30578
Media and Entertainment,2026,2153,19598
Restaurants and Quick-Service,2026,0,528
Retail and Consumer Packaged Goods,2026,22,6363
Robotics,2026,3046,16038
Semiconductor,2026,1334,18815
Telecommunications,2026,812,17510
