granularity,period,sector,n_agent,openalex_ai
month,2023-04,Neuroscience,3,26085
month,2023-05,All,89,33807
month,2023-05,Computer Science,75,33807
month,2023-05,Social Sciences,15,33807
month,2023-05,Engineering,15,33807
month,2023-05,Decision Sciences,5,33807
month,2023-05,Medicine,4,33807
month,2023-05,Psychology,16,33807
month,2023-05,"Business, Management and Accounting",1,33807
month,2023-05,Neuroscience,5,33807
month,2023-06,All,81,36242
month,2023-06,Computer Science,58,36242
month,2023-06,Social Sciences,20,36242
month,2023-06,Engineering,14,36242
month,2023-06,Decision Sciences,8,36242
month,2023-06,Medicine,5,36242
month,2023-06,Psychology,8,36242
month,2023-06,"Business, Management and Accounting",8,36242
month,2023-06,Neuroscience,5,36242
month,2023-07,All,77,34289
month,2023-07,Computer Science,54,34289
month,2023-07,Social Sciences,19,34289
month,2023-07,Engineering,16,34289
month,2023-07,Decision Sciences,11,34289
month,2023-07,Medicine,3,34289
month,2023-07,Psychology,10,34289
month,2023-07,"Business, Management and Accounting",5,34289
month,2023-07,Neuroscience,3,34289
month,2023-08,All,73,30542
month,2023-08,Computer Science,53,30542
month,2023-08,Social Sciences,15,30542
month,2023-08,Engineering,14,30542
month,2023-08,Decision Sciences,4,30542
month,2023-08,Medicine,6,30542
month,2023-08,Psychology,11,30542
month,2023-08,"Business, Management and Accounting",3,30542
month,2023-08,Neuroscience,4,30542
month,2023-09,All,84,32881
month,2023-09,Computer Science,64,32881
month,2023-09,Social Sciences,17,32881
month,2023-09,Engineering,13,32881
month,2023-09,Decision Sciences,9,32881
month,2023-09,Medicine,6,32881
month,2023-09,Psychology,11,32881
month,2023-09,"Business, Management and Accounting",5,32881
month,2023-09,Neuroscience,2,32881
month,2023-10,All,119,36993
month,2023-10,Computer Science,97,36993
month,2023-10,Social Sciences,17,36993
month,2023-10,Engineering,16,36993
month,2023-10,Decision Sciences,15,36993
month,2023-10,Medicine,7,36993
month,2023-10,Psychology,18,36993
month,2023-10,"Business, Management and Accounting",5,36993
month,2023-10,Neuroscience,2,36993
month,2023-11,All,73,34238
month,2023-11,Computer Science,58,34238
month,2023-11,Social Sciences,9,34238
month,2023-11,Engineering,7,34238
month,2023-11,Decision Sciences,6,34238
month,2023-11,Medicine,4,34238
month,2023-11,Psychology,8,34238
month,2023-11,"Business, Management and Accounting",6,34238
month,2023-11,Neuroscience,2,34238
month,2023-12,All,110,40484
month,2023-12,Computer Science,85,40484
month,2023-12,Social Sciences,20,40484
month,2023-12,Engineering,15,40484
month,2023-12,Decision Sciences,13,40484
month,2023-12,Medicine,2,40484
month,2023-12,Psychology,7,40484
month,2023-12,"Business, Management and Accounting",9,40484
month,2023-12,Neuroscience,8,40484
month,2024-01,All,441,112679
month,2024-01,Computer Science,324,112679
month,2024-01,Social Sciences,91,112679
month,2024-01,Engineering,68,112679
month,2024-01,Decision Sciences,39,112679
month,2024-01,Medicine,34,112679
month,2024-01,Psychology,43,112679
