ISCO1D,ISCO2D,ISCO3D,ISCO4D,ISCO1Dname,ISCO2Dname,ISCO3Dname,ISCO4Dname,2017_Frey_autom,2018_Brynjolfsson_mSML,2020_Webb_AI,2020_Webb_robot,2020_Webb_software,2021_Felten_AIOE,2023_Felten_genAIOE,2021_Tolan_AI,2023_Gmyrek_LLM,2024_Autor_augm,2024_Autor_autom,2024_Eloundou_GPT,2024_Engberg_DAIOE,2024_Loaiza_augm,2024_Loaiza_autom,2024_Prytkova_digital,2025_Gmyrek_LLM
3,33,335,3359,Technicians and associate professionals,Business and administration associate professionals,Regulatory government associate professionals,Regulatory government associate professionals not elsewhere classified,0.8388017118402282,0.9375812743823146,0.9053177691309987,0.7094682230869002,0.7963683527885862,0.5614489003880984,0.5782664941785253,0.513,0.41,0.1952912621359223,0.25,0.4642409033877039,0.6804244995117188,0.6602067183462532,0.48320413436692505,0.05060240963855422,0.36
3,34,341,3411,Technicians and associate professionals,"Legal, social, cultural and related associate professionals","Legal, social and religious associate professionals",Legal and related associate professionals,0.630527817403709,0.4115734720416125,0.33808906182447035,0.1398616515348033,0.2929096411586684,0.7421302285467875,0.6940491591203105,0.529,0.39,0.40352750809061483,0.25333333333333335,0.6375993308239231,0.8643868255615235,0.47932816537467704,0.42441860465116277,0.3108433734939759,0.39
3,34,341,3412,Technicians and associate professionals,"Legal, social, cultural and related associate professionals","Legal, social and religious associate professionals",Social work associate professionals,0.25392296718972895,0.7867360208062418,0.08171206225680934,0.13359273670557717,0.00648508430609598,0.6131953428201811,0.5976714100905562,0.529,0.29,0.42718446601941784,0.05,0.5796737766624843,0.4068396377563477,0.8410852713178295,0.2454780361757106,0.25060240963855424,0.33
3,34,341,3413,Technicians and associate professionals,"Legal, social, cultural and related associate professionals","Legal, social and religious associate professionals",Religious associate professionals,NA,NA,NA,NA,NA,NA,NA,0.529,0.22,NA,NA,NA,NA,NA,NA,0.03132530120481928,0.12
3,34,342,3421,Technicians and associate professionals,"Legal, social, cultural and related associate professionals",Sports and fitness workers,Athletes and sports players,0.3309557774607703,0.015604681404421327,0.6562905317769131,0.35927367055771725,0.4254215304798962,0.014230271668822769,0.007761966364812419,0.252,0.26,0.34543689320388343,0.16,0,0.003537735939025879,0.7196382428940569,0.2131782945736434,0.4746987951807229,0.23
3,34,342,3422,Technicians and associate professionals,"Legal, social, cultural and related associate professionals",Sports and fitness workers,"Sports coaches, instructors and officials",0.42938659058487877,0.21239705244906806,0.4721141374837873,0.4444444444444445,0.3182014699524427,0.5605864596808969,0.5627425614489003,0.252,0.36,0.34543689320388343,0.16,0.4947720618987871,0.4233490753173828,0.40654608096468564,0.1851851851851852,0.4843373493975904,0.37
3,34,342,3423,Technicians and associate professionals,"Legal, social, cultural and related associate professionals",Sports and fitness workers,Fitness and recreation instructors and program leaders,0.18937232524964337,0.44538361508452534,0.29831387808041504,0.2603761348897536,0.19682230869001296,0.41752910737386806,0.398771021992238,0.252,0.38,0.4296601941747572,0.15,0.3462986198243413,0.21816038131713866,0.8136304909560723,0.18959948320413436,0.6265060240963856,0.25
3,34,343,3431,Technicians and associate professionals,"Legal, social, cultural and related associate professionals","Artistic, cultural and culinary associate professionals",Photographers,0.12125534950071326,0.8907672301690507,0.9118028534370947,0.8249027237354085,0.880674448767834,0.47477360931435963,0.5821474773609314,0.605,0.35,0.2884466019417476,0.62,0.5671267252195734,0.5577830123901367,0.6214470284237726,0.2713178294573643,0.8843373493975903,0.39
3,34,343,3432,Technicians and associate professionals,"Legal, social, cultural and related associate professionals","Artistic, cultural and culinary associate professionals",Interior designers and decorators,0.1925820256776034,0.5543996532293021,0.5166450497189796,0.40942498919152615,0.40034587116299175,0.49374730487279,0.6136265631737818,0.605,0.38,0.5756796116504855,0.44,0.6035131744040151,0.5672169876098633,0.6477174849267873,0.1843238587424634,0.5807228915662651,0.37
3,34,343,3433,Technicians and associate professionals,"Legal, social, cultural and related associate professionals","Artistic, cultural and culinary associate professionals","Gallery, museum and library technicians",0.536376604850214,0.3736454269614218,0.30436662343277127,0.2382187635105923,0.2637267617812365,0.4109529969814575,0.4463130659767141,0.605,0.44,0.35093851132686094,0.39666666666666667,0.5579255541614387,0.5766509246826171,0.6309216192937124,0.4453057708871662,0.5469879518072289,0.37
