status,raw_reference,existing_law,existing_kind,existing_anchor,new_law,new_kind,new_anchor,new_paragraphs
obsolete,"NY S8828 §1420(8), (9), (10); §1425; §1426",ny-s8828,section,1420-8,,,,
changed,"NY S8828 §1420(8)-(10), §1425, §1426",ny-s8828,section,1420-8,ny-s8828,section,1420,8
changed,NY S8828 §1420(9),ny-s8828,section,1420-9,ny-s8828,section,1420,9
new,NY S8828 §1421,,,,ny-s8828,section,1421,
new,NY S8828 §1422,,,,ny-s8828,section,1422,
obsolete,"NY S8828 §1422(1), (2)(A)",ny-s8828,section,1422-1,,,,
obsolete,"NY S8828 §1422(1), (2)(A), (3)(C)",ny-s8828,section,1422-1,,,,
obsolete,NY S8828 §1422(3)(A)-(B),ny-s8828,section,1422-3,,,,
changed,NY S8828 §1427(1)-(2),ny-s8828,section,1427-1,ny-s8828,section,1427,1
new,NY S8828 §1428,,,,ny-s8828,section,1428,
new,"New York A6453, § 1420",,,,ny-a6453,section,1420,
new,"New York A6453, § 1421",,,,ny-a6453,section,1421,
new,"New York A6453, § 1422",,,,ny-a6453,section,1422,
obsolete,"New York S8828 (pending), § 1420; New York A6453, § 1420",ny-s8828,section,1420,,,,
obsolete,"New York S8828 (pending), § 1421; New York A6453, § 1421",ny-s8828,section,1421,,,,
obsolete,"New York S8828 (pending), § 1422; New York A6453, § 1421",ny-s8828,section,1422,,,,
new,"New York S8828 (pending), § 1426",,,,ny-s8828,section,1426,
obsolete,"New York S8828 (pending), § 1426; New York A6453, § 1420",ny-s8828,section,1426,,,,
new,"New York S8828 (pending), § 1427",,,,ny-s8828,section,1427,
obsolete,"New York S8828 (pending), § 1427; New York A6453, § 1422",ny-s8828,section,1427,,,,
new,TX HB 149 §552.051,,,,tx-hb149,section,552.051,
new,TX HB 149 §552.103,,,,tx-hb149,section,552.103,
new,TX HB 149 §552.104,,,,tx-hb149,section,552.104,
new,TX HB 149 §552.105,,,,tx-hb149,section,552.105,
changed,Texas HB149 552.051. (b - f),tx-hb149,section,552.051-b,tx-hb149,section,552.051,b - f
changed,Texas HB149 552.103 (b),tx-hb149,section,552.103-b,tx-hb149,section,552.103,b
changed,Texas HB149 552.104. (b),tx-hb149,section,552.104-b,tx-hb149,section,552.104,b
changed,Texas HB149 552.105 (a),tx-hb149,section,552.105-a,tx-hb149,section,552.105,a
changed,"Texas HB149, 552.001. (2)",tx-hb149,section,552.001-2,tx-hb149,section,552.001,2
new,"Texas HB149, 552.103. (a)",,,,tx-hb149,section,552.103,a
new,"Texas HB149, 552.103. (b)",,,,tx-hb149,section,552.103,b
changed,"Texas HB149, A552.001. (1)",tx-hb149,section,552.001-1,tx-hb149,section,552.001,1
changed,"Utah SB226, 13-75-101 (4)",ut-sb226,section,13-75-101-4,ut-sb226,section,13-75-101,4
changed,"Utah SB226, 13-75-101 (5)",ut-sb226,section,13-75-101-5,ut-sb226,section,13-75-101,5
changed,"Utah SB226, 13-75-101 (8)",ut-sb226,section,13-75-101-8,ut-sb226,section,13-75-101,8
changed,"Utah SB226, 13-75-101. (4)",ut-sb226,section,13-75-101-4,ut-sb226,section,13-75-101,4
obsolete,"Utah SB226, 13-75-102",ut-sb226,section,13-75-102,,,,
changed,"Utah SB226, 13-75-103 (1)",ut-sb226,section,13-75-103-1,ut-sb226,section,13-75-103,1
changed,"Utah SB226, 13-75-103 (2)",ut-sb226,section,13-75-103-2,ut-sb226,section,13-75-103,2
changed,"Utah SB226, 13-75-104 (1, 2)",ut-sb226,section,13-75-104-1,ut-sb226,section,13-75-104,"1,2"
changed,"Utah SB226, 13-75-105 (4)",ut-sb226,section,13-75-105-4,ut-sb226,section,13-75-105,4
obsolete,"Utah SB226, 13-75-105 (4, 7)",ut-sb226,section,13-75-105-4,,,,
obsolete,"Utah SB226, §13-75-103(2)-(3)",ut-sb226,section,13-75-103-2,,,,
new,§1425,,,,ny-s8828,section,1425,
new,§1426,,,,ny-s8828,section,1426,
